gene_name	gold_standard	phenotypes
AKT1	100	
AKT2	100	
AKT3	100	
MTOR	100	
RPS6KB1	100	
FOXO3	100	
BCL2	100	
BAD	-100	
KRAS	100	
NRAS	100	
RAF1	100	
MAP2K1	100	
MAP2K2	100	
MAPK1	100	
MAPK3+A24	100	
CREB	100	
STAT5A	100	
STAT5B	100	
GRB2	100	
FYN	100	
CBL	100	
PIK3CA	100	
PIK3CB	100	
PIK3CD	100	
NFKB1	100	
SOS	-100	
TSC2	-100	
EIF4EBP1	-100	
SHC1	100	
PTPN11	100	
PTPN6	-100	
MYC	100	
FLT3	100	
APOPTOSIS	-100	x
CELL_GROWTH	100	x
CELL_CYCLE_BLOCK	-100	x
DNA_REPAIR	-100	x
PROLIFERATION	100	x
IMMORTALITY	100	x
SURVIVAL	100	x