phenotypes	select
ACTIN_CYTOSKELETON_REORGANIZATION	
ACTION_POTENTIAL_	
ADIPOGENESIS	
ALTERNATIVE_SPLICING_REGULATION	
ANGIOGENESIS	
APOPTOSIS	x
AUTOPHAGOSOME_FORMATION	
AUTOPHAGY	x
AXONAL_GROWTH_CONE_FORMATION	
B-LYMPHOCYTE_DIFF	
BASE-EXCISION_REPAIR	
BONE_MINERALIZATION	
BROWN_ADIPOGENESIS	
CELL_ADHESION	
CELL_CYCLE_BLOCK	x
CELL_CYCLE_EXIT	x
CELL_CYCLE_PROGRESS_	x
CELL_DEATH	x
CELL_GROWTH	x
CELL_KILLING	
CELL_MIGRATION	x
CELL_POLARITY	
CELL_SHAPE	
CENTROMERE_ASSEMBLY	
CENTROSOME_SEPARATION	
CHAPERONE-MEDIATED_AUTOPHAGY	x
CHAPERONE-MEDIATED_PROTEIN_FOLDING	
CHEMOREPULSION_OF_AXON	
CHEMOTAXIS	
CHROMATINE_CONDENSATION	
CHROMOSOME_SEGREGATION	
CILIUM_ASSEMBLY	
CILIUM_MOVEMENT	
CITRIC_ACID_CYCLE	
CYTOSKELETON_ORGANIZATION	
CYTOTOXIC_T-LYMPHOCYTE_ACTIVATION	
DEGRANULATION	
DEMYELINATION	
DENDRITIC_SPINE_MORPHOGENESIS	
DIFFERENTIATION	
DNA_FRAGMENTATION	
DNA_REPAIR	
DNA_REPLICATION	
ECM_SYNTHESIS	
ENDOCYTOSIS	
EPIGENETIC_REGULATION	
EPITHELIAL-MESENCHYMAL_TRANSITION	
ERYTHROCYTE_DIFFERENTIATION_	
EXCITATORY_SYNAPTIC_TRANSMISSION	
EXOCYTOSIS	
F-ACTIN_ASSEMBLY	
FATTY_ACID_BIOSYNTHESIS	
FIBRIN_CLOT_FORMATION	
FIBROSIS	
FOOD_INTAKE	
G0/G1_TRANSITION	x
G1/S_TRANSITION	x
G1/S_TRANSITION_CHECKPOINT	x
G2/M_TRANSITION	x
G2/M_TRANSITION-CHECKPOINT	x
GLUCONEOGENESIS	
GLUTAMINOLYSIS	
GLYCOGEN_SYNTHESIS	x
GLYCOLYSIS	x
HDL_ASSEMBLY	
HELPER_T-LYMPHOCYTE_ACTIVATION	
HEXOSAMINE_BIOSYNTHESIS	
IMMORTALITY	
IMMUNE_RESPONSE	
INFLAMMATION	
INSERTION_INTO_MITOCHONDRIAL_MEMBRANE	
INTERFERON_PRODUCTION	
LIPOGENESIS	
M1_POLARIZATION	
M2_POLARIZATION	
MACROPHAGE_ACTIVATION	
MACROPHAGE_DIFFERENTIATION	
MAST-CELL_DIFF	
MEGAKARYOCYTE_DIFFERENTIATION_	
MEIOTIC_RECOMBINATION	
MELANOSOME_ASSEMBLY	
MEMBRANE_BLEBBING	
MEMBRANE_DISRUPTION	
MEMBRANE_FUSION	
METABOLISM	
METASTASIS	
MICROTUBULE_POLIMERIZATION	
MICROTUBULE-BASED_MOVEMENT	
MINUS-END_DIRECTED_MICROTUBULE_MOVEMENT	
MITOCHONDRIAL_BIOGENESIS	
MITOCHONDRIAL_FISSION	
MITOCHONDRIAL_FUSION	
MITOTIC_CHECKPOINT	
MONOCYTE_DIFFERENTIATION_	
MRNA_POLYADENYLATION	
MRNA_SCANNING	
MRNA-NUCLEUS_EXPORT	
MULTIVESICULAR_BODY_ASSEMBLY	
MUSCLE_ATROPHY	
MYELINATION	
MYOBLAST_FUSION	
MYOTUBE_HYPERTROPHY	
NCRNA_PROCESSING	
NECROSIS	
NEURITE_OUTGROWTH	
NEURODEGENERATION	
NEUROFIBRILLARY_TANGLE_FORMATION	
NEUROGENESIS	
NEURON_MATURATION	
NEURON_MIGRATION	
NEUTROPHIL_ACTIVATION	
NONSENSE-MEDIATED_MRNA_DECAY	
NUCLEAR_PORE_FUNCTION	
NUCLEOTIDE_SYNTHESIS	
NUCLEOTIDE-EXCISION_REPAIR	
ORGANELLE_TRANSPORT	
OSTEOCLAST_DIFFERENTIATION	
OXIDATIVE_PHOSPHORYLATION	x
OXIDATIVE_STRESS	
PLATELET_ADHESION_	
PLATELET_AGGREGATION	
PLATELET_ALPHA_GRANULE_FORMATION	
PLATELET_DEGRANULATION	
PLATELET_DENSE_GRANULE_FORMATION	
PLATELET_MORPHOGENESIS	
PLURIPOTENCY	
PLUS-END_DIRECTED_SLIDING_MOVEMENT	
POSTSYNAPTIC_DENSITY_ASSEMBLY	
PROLIFERATION	x
PROTEIN_ACETYLATION	
PROTEIN_AGGREGATES	
PROTEIN_DEGRADATION	
PROTEIN_GLYCOSYLATION	
PROTEIN_LOCALIZATION_TO_PEROXISOME	
PROTEIN_SYNTHESIS	
PROTEIN_TRANSLOCATION	
PROTEIN_UBIQUITINATION	
PURINE_BIOSYNTHESIS	
PYRIMIDINE_BIOSYNTHESIS	
PYROPTOSIS	
QUIESCENCE	
RECEPTOR_MEDIATED__ENDOCYTOSIS	
RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	
RIBOSOME_BIOGENESIS	x
RNA_SPLICING	
RRNA_TRANSCRIPTION	
SATELLITE_CELLS_SELF-RENEWAL	
SKELETAL_MUSCLE_DIFFERENTIATION	
SPINDLE_ASSEMBLY	
SPLICEOSOMAL_SNRNP_ASSEMBLY	
STRESS_GRANULES	
SURVIVAL	
SYNAPTIC_PLASTICITY	
SYNAPTIC_VESICLE_EXOCYTOSIS	
T_CELL_ACTIVATION	
T-REG_DIFFERENTIATION	
TELOMERE_MAINTENANCE	
THERMOGENESIS_	
TRANSCRITPIONAL_ACTIVATION	
TRANSLATIONAL_ELONGATION	x
TRANSLATIONAL_REGULATION	x
UPR	
VASCULAR_PERMEABILITY	
VASODILATION	
VESICLE_TRANSPORT	
VIRAL_BUDDING	
VLDL_ASSEMBLY	